material_id,dielectric_task_id,n,volume,REF_energy,energy_per_atom,max_force,stress_mag_gpa,eps_total_scalar,eps_eig_min,eps_eig_max,bec_asr_norm,chi_trace
mp-570778,mp-1140435,16,1135.6489244522672,-28.83335112,-1.802084445,0.023126130294755323,0.0004838232252,1.8966487666666672,1.4497076565877307,2.7905260300008363,0.0035886487707771256,1.55020797
mp-632291,mp-1141313,2,23.550470050747833,-6.78303656,-3.39151828,0.01702354,0.002058999193,1.5310890299999997,1.46644036,1.66038636,0.00034073450074801644,1.59326708
mp-850274,mp-1142038,2,22.79499767126508,-6.77881509,-3.389407545,0.02632094,0.002586371562,1.55239453,1.47904619,1.6990912,0.00030610455730027935,1.6571835799999999
mp-555760,mp-1114900,9,271.70073323487503,-36.86335792,-4.095928657777778,0.010161516136605797,0.001153776847,4.307061493333333,2.9148897332635366,7.091374670054307,0.0017295664196555279,9.85315654
mp-567313,mp-1119522,3,104.55287369448517,-9.43056887,-3.1435229566666667,0.00465692,0.0005278251842,64.80525917333331,59.465675182262586,75.44504651083324,0.03518466569402033,141.87776586
mp-542605,mp-1140790,32,1179.9972125810498,-111.4954929,-3.484234153125,0.03329923663126679,0.0004499873364,5.3313822633333325,3.7983529334428505,6.114818397607364,0.06573218085534659,12.0591049
mp-14,mp-1141219,3,89.32902712304568,-10.4501218,-3.483373933333333,0.0023873,6.710723937e-05,10.634820196666668,8.635653882693067,14.6233367001403,0.007965845843348968,26.28946302
mp-19,mp-1140942,3,93.88829580210134,-11.41335492,-3.80445164,0.0009509471434838006,8.554923235e-05,164.2724788,130.84166489843017,231.08910594848993,0.20594711092899556,352.24128028999996
mp-12103,mp-1141703,2,85.46902198354631,-6.25260732,-3.12630366,0.0,0.0008855097944,1.4079819199999999,1.407867997230761,1.40820691,0.001749771413642365,1.22394268
mp-165,mp-1116669,8,163.52294428486158,-43.31515129,-5.41439391125,0.023485208203166946,0.0004420122169,12.747945546666669,12.065654419999996,13.715628680000002,0.0,35.24383633
mp-23907,mp-1140973,2,83.73582204581423,-2.2352861,-1.11764305,0.0,0.0006049923382,1.2612632666666665,1.2612296894461488,1.26133024,0.00019390719429665315,0.78378978
mp-570752,mp-1141874,2,86.91779209193206,-2.22461983,-1.112309915,0.0,0.001123239215,1.2476283666666665,1.2454468591678212,1.25199078,0.00015362291495737217,0.7428849
mp-990424,mp-1116649,8,272.4694097688905,-73.85034231,-9.23129278875,0.026067405553558645,0.0014741404030000002,6.598070946666668,1.2043768447581271,14.582033665241099,3.469446951953614e-18,16.7933881
