index,nonpolar_mpid,polar_mpid,formula,split,nonpolar_split,polar_split,ref_sp_raw_x,pred_sp_raw_x,ref_sp_folded_x,pred_sp_folded_x,ref_sp_raw_y,pred_sp_raw_y,ref_sp_folded_y,pred_sp_folded_y,ref_sp_raw_z,pred_sp_raw_z,ref_sp_folded_z,pred_sp_folded_z,ref_sp_folded_norm,pred_sp_folded_norm
0,mp-1565,mp-556605,Zr4O8,train,train,train,0.0007918780784137232,1.6515176173927336e-14,0.0007918780784137232,1.6515176173462548e-14,-0.00011312543939246363,9.0868317702278e-14,-0.00011312543939246372,9.0868317702278e-14,-51.160154615439396,-53.05765567364237,-51.160154615439396,-53.05765567364237,51.160154621692975,53.05765567364237
1,mp-570538,mp-634410,Na2N6,train,train,train,-5.899583754537455e-13,-8.640888869705442e-15,-5.899583555157676e-13,-8.640888869705442e-15,-51.82285814767851,-51.811068528725784,-51.82285814767851,-51.811068528725784,2.944047461156184e-13,3.2567641471070955e-14,2.9440478140698395e-13,3.2567641471070955e-14,51.82285814767851,51.811068528725784
2,mp-762643,mp-766664,Fe12Li12O48Si12,train,train,train,1.8969093759650076e-05,-1.1516268862990233e-13,1.896909375965008e-05,-1.1516268862990233e-13,-1.8940789747853944e-05,-1.0929364959068096e-13,-1.894078974785394e-05,-1.0929364959068096e-13,0.6414666041747993,0.6323291680057668,0.6414666041747993,0.6323291680057668,0.6414666047349064,0.6323291680057668
3,mp-695850,mp-632403,Cd2Cl4,train,train,train,-0.0018130997191083075,-9.387607232900091e-15,-0.0018130997191083075,-9.387607232900074e-15,-48.395238087140704,-48.421107256446334,-48.395238087140704,-48.42110725644633,-0.00013075126516648395,-2.7195233507000536e-15,-0.0001307512651664839,-2.7195233507000536e-15,48.3952381212807,48.42110725644633
4,mp-21043,mp-674508,Pb4Rb4F12,train,train,train,3.9169629728467013,3.7513748095201187,3.9169629728467013,3.7513748095201187,-0.00010946364287980163,-9.216291183546567e-15,-0.00010946364287980163,-9.216291183546567e-15,-0.1256846970807226,-0.17489168539615996,-0.1256846970807226,-0.17489168539615996,3.9189788957985767,3.755449382314028
5,mp-644923,mp-554946,O192Si96,train,train,train,5.7004872566492646e-06,-4.875217389456379e-15,5.700487256649264e-06,-4.875217389456379e-15,8.649417811605586e-06,1.9661874997180597e-14,8.649417811605585e-06,1.9661874997180597e-14,0.026273726416854326,0.025959488175860596,0.026273726416854326,0.025959488175860593,0.026273728458970042,0.025959488175860593
6,mp-772617,mp-778973,Zn8N16O48,train,train,train,2.559051004518242e-07,-5.228507550960942e-14,2.5590510045182684e-07,-5.228507550960942e-14,1.868130935415483e-05,-1.6243675830761747e-07,1.8681309354154834e-05,-1.624367583076175e-07,-1.1171410274905154,-1.140261021814268,-1.1171410274905154,-1.140261021814268,1.117141027646743,1.1402610218142795
7,mp-554236,mp-39460,Ca10Cl2O24P6,train,train,train,-7.910060791698285e-13,7.154222586810812e-14,-7.910060807502724e-13,7.154222586810812e-14,1.582012025937819e-12,2.001545411058201e-14,1.5820120215631835e-12,2.001545411058201e-14,-2.131636445108622,-11.72336343686953,-2.131636445108622,-11.723363436869528,2.131636445108622,11.723363436869528
8,mvc-12752,mp-715584,Mo4O12,train,train,train,-4.563063076034359,-4.559717788454778,-4.563063076034359,-4.559717788454778,0.0012060631753315065,-7.998429827622238e-14,0.0012060631753315065,-7.998429827622238e-14,0.9448726454234088,0.7951321294124071,0.9448726454234088,0.7951321294124071,4.659863775533139,4.628526916155381
9,mp-559354,mp-558920,Na8Nb8O24,train,train,train,5.12773379396531e-13,-2.9019530222169247e-06,5.127733793965311e-13,-2.9019530222169272e-06,-6.320009287275005e-05,-8.24983723375913e-14,-6.320009287275005e-05,-8.24983723375913e-14,31.48227897981157,31.628056846338232,31.48227897981157,31.628056846338232,31.48227897987501,31.628056846338367
