mode_index,frequency_cm-1,direct_raman_activity,foundation_raman_activity,activity_ratio_foundation_over_direct,direct_frobenius_norm,foundation_frobenius_norm,frobenius_ratio_foundation_over_direct,direct_iso_derivative,foundation_iso_derivative,direct_anisotropy_sq,foundation_anisotropy_sq
0,-22.166627348347888,2.6167819155493933e-05,1.1151725594641137e-06,0.042616182603431946,0.001532499533007618,0.0003258924212125058,0.21265417325963112,-0.00033422032647297445,-8.994782333774746e-07,3.020167708178194e-06,1.593051645307085e-07
4,39.53688564266939,1.2260346612797505e-05,1.997006911680901e-06,0.16288339757021222,0.0009809039137396525,0.00042491629121510765,0.433188496103694,-0.0003997717393996088,-8.657749216138082e-05,7.240802356830017e-07,2.3710030213971036e-07
5,54.56753861757706,1.1825749205192807e-06,8.099697845061741e-07,0.6849204819517973,0.00031557876401559765,0.00027705101277733144,0.8779139928554827,0.00010069402843537745,1.7253053098039334e-05,1.0375814131496767e-07,1.1379639023600067e-07
6,59.45478828753054,1.118659690100795e-06,6.925131645431004e-07,0.6190561532441583,0.00032521748579593363,0.00022577619208474355,0.6942314049694512,2.4513568265271957e-05,0.00010793579400258935,1.5594550197020978e-07,2.4036723047068185e-08
7,62.95600198019449,2.5506955377078377e-07,1.3500068473364686e-07,0.5292700862877745,0.00015318730370057377,0.00011332085687272785,0.7397535835882945,2.5346310437527702e-05,-3.482340728000466e-06,3.230856548499787e-08,1.9207854767297397e-08
8,69.32213432581727,1.0212297816947329e-05,1.1666368050847647e-05,1.1423842371192197,0.0008657957473005087,0.001021108827258547,1.1793876678677317,-0.0004164642991670113,-0.000230684016887898,3.4391210790245514e-07,1.3245268352440751e-06
9,70.39059344010377,1.7350600591644019e-06,1.8136143354819504e-06,1.045274672713854,0.00040447783129031933,0.00041419160258479885,1.0240155839035523,3.573124072286937e-05,3.0172537351935702e-05,2.396582269717997e-07,2.532353064315032e-07
10,71.64555917461473,2.0997592747165366e-06,1.2073501716906587e-06,0.5749945654382922,0.00040817377551025786,0.00029473262612092705,0.7220763405304075,0.00016110683114615534,0.00014788466533059244,1.3310939683264642e-07,3.188654727047126e-08
11,81.52815325152325,6.78087068536863e-05,7.913386129710393e-06,0.1167016227987571,0.0025323197533797864,0.000857965969268705,0.3388063328588785,-0.00018776499366731278,0.00011683393826659542,9.460314382225205e-06,1.0427326455458108e-06
12,85.73753756691633,3.925013922053315e-06,1.373442133423501e-06,0.3499203214813068,0.0005870481003398538,0.0003421761107250993,0.5828757652516153,-0.00015066432271300853,-0.00010329927056444237,4.147893865453834e-07,1.276084092802767e-07
13,87.35717620013874,6.65815424065795e-06,1.1436635200870148e-06,0.17176885346140608,0.000768679571979812,0.00031747099800116406,0.4130082411107731,-0.0001833913553998349,-7.95316182559495e-05,7.349566750093522e-07,1.227179994969373e-07
14,90.10141492189523,6.1016302543642984e-05,5.510938374894384e-06,0.09031911382949809,0.0022424368390768002,0.0006611047420817614,0.294815323473697,-0.0007801619624122255,-0.0002613092158461801,4.803847371696103e-06,3.483179417168335e-07
15,99.93348099667855,5.552634223490431e-06,4.5636752350790517e-07,0.08218937267238698,0.0006443476330686867,0.0002010655096749164,0.31204508149948157,0.0002972969042155012,-4.8595428918662975e-05,2.250412867092844e-07,5.001418806820114e-08
16,100.12820816645754,1.025523810361408e-05,3.5708963691306653e-06,0.34820219024190524,0.0009874945626632027,0.0005393729306725284,0.5462034436097328,-3.465195743013183e-05,-0.000195543536222198,1.4573148552422565e-06,2.643170020011389e-07
17,101.6227929569078,3.6584377553752674e-05,1.1116372512806436e-05,0.3038557235659778,0.0018540378248401205,0.0009384785013778963,0.5061808819670787,-0.00019072704296685394,-0.00037203968212754884,4.992488761771867e-06,6.982519834736993e-07
18,109.46878641560434,0.00023298880293629541,4.350551689702285e-05,0.18672793004957527,0.004701219874052505,0.0020345172444583997,0.43276368665237996,-0.00026153191751106714,-5.662253708978623e-05,3.2844407208832815e-05,6.194463124318723e-06
19,114.22376966431463,3.181344862507027e-05,1.7467450673395413e-05,0.5490586977618755,0.0017386427993851007,0.0012895870171762934,0.7417205061513364,-7.364650031001692e-05,-2.034259764194246e-05,4.509911044244881e-06,2.492689816549775e-06
20,117.93417321613713,3.701748645285015e-05,1.2875461470727594e-05,0.3478210625437063,0.0018764742352759686,0.001106100642202192,0.5894568768430335,-5.796110987203266e-05,-4.6464521380832714e-05,5.266615627322607e-06,1.8254726631579786e-06
21,118.37164429418617,6.100182707131684e-06,2.4783310486504646e-06,0.4062716098245818,0.0007047091989089972,0.0004609238450750977,0.6540624782373803,-0.00025614299093201787,-0.0001354273738899773,4.4968103942424185e-07,2.3614360524390827e-07
22,123.98347018573564,0.0003486030295998526,0.00011406750058576891,0.32721316483308366,0.005491329438764864,0.003204385702967187,0.5835355060555123,-0.0015390879946656593,-0.0006805542069069729,3.4572485158610626e-05,1.3317938471646267e-05
23,139.8513910812932,8.16443841508122e-06,2.8235315944938865e-06,0.34583292211235306,0.000773788972862291,0.0004529188357587062,0.585326040617163,-0.0003729333157139377,-0.0002227120946259505,2.722674009226573e-07,8.450016076048023e-08
